,contract,underlying,expiration,type,strike,style,bid,bid_size,ask,ask_size,volume,open_interest,quote_date,delta,gamma,theta,vega,implied_volatility
933,AAPL130607P00385000,AAPL,2013-06-07,put,385.0,A,0.0,,0.01,,10,666,2013-06-07,0.0,0.0,0.0,0.0,0.3
934,AAPL130607C00390000,AAPL,2013-06-07,call,390.0,A,51.55,,52.3,,3,22,2013-06-07,1.0,0.0,0.0,0.0,0.3
935,AAPL130607P00390000,AAPL,2013-06-07,put,390.0,A,0.0,,0.01,,84,1548,2013-06-07,0.0,0.0,0.0,0.0,0.3
936,AAPL130607C00395000,AAPL,2013-06-07,call,395.0,A,46.45,,47.55,,4,74,2013-06-07,1.0,0.0,0.0,0.0,0.3
937,AAPL130607P00395000,AAPL,2013-06-07,put,395.0,A,0.0,,0.01,,0,1314,2013-06-07,0.0,0.0,0.0,0.0,0.3
938,AAPL130607C00400000,AAPL,2013-06-07,call,400.0,A,41.5,,42.45,,48,159,2013-06-07,1.0,0.0,0.0,0.0,0.3
939,AAPL130607P00400000,AAPL,2013-06-07,put,400.0,A,0.0,,0.01,,170,2103,2013-06-07,0.0,0.0,0.0,0.0,0.3
940,AAPL130607C00405000,AAPL,2013-06-07,call,405.0,A,36.25,,37.25,,12,23,2013-06-07,1.0,0.0,0.0,0.0,0.3
941,AAPL130607P00405000,AAPL,2013-06-07,put,405.0,A,0.0,,0.01,,220,1336,2013-06-07,0.0,0.0,0.0,0.0,0.3
942,AAPL130607C00410000,AAPL,2013-06-07,call,410.0,A,31.25,,32.25,,80,649,2013-06-07,1.0,0.0,0.0,0.0,0.3
943,AAPL130607P00410000,AAPL,2013-06-07,put,410.0,A,0.0,,0.01,,326,3697,2013-06-07,0.0,0.0,0.0,0.0,0.3
944,AAPL130607C00415000,AAPL,2013-06-07,call,415.0,A,26.6,,27.45,,131,184,2013-06-07,1.0,0.0,0.0,0.0,0.3
945,AAPL130607P00415000,AAPL,2013-06-07,put,415.0,A,0.0,,0.01,,1036,3291,2013-06-07,0.0,0.0,0.0,0.0,0.3
946,AAPL130607C00420000,AAPL,2013-06-07,call,420.0,A,21.45,,22.4,,295,482,2013-06-07,1.0,0.0,0.0,0.0,0.3
947,AAPL130607P00420000,AAPL,2013-06-07,put,420.0,A,0.0,,0.01,,3171,4622,2013-06-07,0.0,0.0,0.0,0.0,0.3
